hospital_id,department,department_code,hour,queue_length,people_ahead,doctors_available,patients_being_served,average_service_time,arrival_rate,service_rate,emergency_patients,waiting_time_minutes
1,Orthopaedics,ORT,10,11,10,1,1,12.0,3.0,5.02,0,118.3
1,Orthopaedics,ORT,11,11,10,1,1,12.0,5.0,5.02,0,118.7
1,Orthopaedics,ORT,12,13,12,1,1,12.0,3.0,5.02,1,150.0
1,Orthopaedics,ORT,13,11,10,1,1,12.0,3.0,5.02,0,115.3
1,Orthopaedics,ORT,14,10,9,1,1,12.0,4.0,5.02,0,108.6
1,Orthopaedics,ORT,15,13,12,1,1,12.0,7.0,5.02,0,143.4
1,Orthopaedics,ORT,16,19,18,1,1,12.0,5.0,5.02,0,150.0
1,Orthopaedics,ORT,17,15,14,1,1,12.0,4.0,5.02,0,150.0
1,Orthopaedics,ORT,18,14,13,1,1,12.0,0.0,5.02,1,150.0
1,Paediatrics,PED,8,17,16,1,1,9.6,4.0,6.24,0,150.0
1,Paediatrics,PED,9,11,10,1,1,9.6,6.0,6.24,0,96.2
1,Paediatrics,PED,10,14,13,1,1,9.6,6.0,6.24,1,129.4
1,Paediatrics,PED,11,13,12,1,1,9.6,6.0,6.24,0,117.9
1,Paediatrics,PED,12,8,7,1,1,9.6,5.0,6.24,0,64.3
1,Paediatrics,PED,13,16,15,1,1,9.6,5.0,6.24,0,142.3
1,Paediatrics,PED,14,14,13,1,1,9.6,4.0,6.24,0,128.0
1,Paediatrics,PED,15,9,8,1,1,9.6,6.0,6.24,0,75.0
1,Paediatrics,PED,16,14,13,1,1,9.6,3.0,6.24,0,129.7
1,Paediatrics,PED,17,11,10,1,1,9.6,8.0,6.24,0,99.3
1,Paediatrics,PED,18,20,19,1,1,9.6,4.0,6.24,0,150.0
1,Dermatology,DER,8,17,16,1,1,7.9,4.0,7.6,0,127.0
1,Dermatology,DER,9,13,12,1,1,7.9,3.0,7.6,0,94.7
1,Dermatology,DER,10,13,12,1,1,7.9,3.0,7.6,0,92.1
1,Dermatology,DER,11,11,10,1,1,7.9,4.0,7.6,0,78.2
1,Dermatology,DER,12,18,17,1,1,7.9,0.0,7.6,0,136.1
1,Dermatology,DER,13,17,16,1,1,7.9,6.0,7.6,1,134.0
1,Dermatology,DER,14,13,12,1,1,7.9,4.0,7.6,0,93.0
1,Dermatology,DER,15,9,8,1,1,7.9,3.0,7.6,0,63.5
1,Dermatology,DER,16,17,16,1,1,7.9,6.0,7.6,0,122.4
1,Dermatology,DER,17,12,11,1,1,7.9,2.0,7.6,2,95.0
1,Dermatology,DER,18,12,11,1,1,7.9,6.0,7.6,0,87.6
2,General Medicine,GEN,8,13,11,2,2,9.6,5.0,12.48,1,59.2
2,General Medicine,GEN,9,8,6,2,2,9.6,8.0,12.48,1,34.7
2,General Medicine,GEN,10,8,6,2,2,9.6,7.0,12.48,0,31.4
2,General Medicine,GEN,11,11,9,2,2,9.6,5.0,12.48,0,41.3
2,General Medicine,GEN,12,0,0,2,0,9.6,3.0,12.48,0,0.0
2,General Medicine,GEN,13,2,0,2,2,9.6,3.0,12.48,0,0.0
2,General Medicine,GEN,14,11,9,2,2,9.6,3.0,12.48,0,42.5
2,General Medicine,GEN,15,10,8,2,2,9.6,3.0,12.48,0,40.9
2,General Medicine,GEN,16,11,9,2,2,9.6,5.0,12.48,1,47.1
2,General Medicine,GEN,17,11,9,2,2,9.6,1.0,12.48,0,44.0
2,General Medicine,GEN,18,6,4,2,2,9.6,6.0,12.48,0,19.4
2,Cardiology,CAR,8,11,9,2,2,15.2,8.0,7.89,0,67.8
2,Cardiology,CAR,9,13,11,2,2,15.2,6.0,7.89,0,83.9
2,Cardiology,CAR,10,16,14,2,2,15.2,5.0,7.89,1,113.0
2,Cardiology,CAR,11,12,10,2,2,15.2,6.0,7.89,1,89.6
2,Cardiology,CAR,12,8,6,2,2,15.2,3.0,7.89,0,44.8
2,Cardiology,CAR,13,5,3,2,2,15.2,2.0,7.89,0,23.4
2,Cardiology,CAR,14,2,0,2,2,15.2,1.0,7.89,1,6.4
2,Cardiology,CAR,15,6,4,2,2,15.2,4.0,7.89,0,29.3
2,Cardiology,CAR,16,14,12,2,2,15.2,9.0,7.89,0,90.7
2,Cardiology,CAR,17,14,12,2,2,15.2,5.0,7.89,2,107.7
2,Cardiology,CAR,18,7,5,2,2,15.2,3.0,7.89,1,45.0
2,Orthopaedics,ORT,8,8,7,1,1,11.8,2.0,5.07,0,80.2
2,Orthopaedics,ORT,9,9,8,1,1,11.8,3.0,5.07,1,98.7
2,Orthopaedics,ORT,10,20,19,1,1,11.8,5.0,5.07,0,150.0
2,Orthopaedics,ORT,11,16,15,1,1,11.8,7.0,5.07,1,150.0
2,Orthopaedics,ORT,12,10,9,1,1,11.8,3.0,5.07,0,107.5
2,Orthopaedics,ORT,13,9,8,1,1,11.8,7.0,5.07,0,94.6
2,Orthopaedics,ORT,14,13,12,1,1,11.8,8.0,5.07,0,139.5
2,Orthopaedics,ORT,15,12,11,1,1,11.8,3.0,5.07,0,134.0
2,Orthopaedics,ORT,16,11,10,1,1,11.8,6.0,5.07,0,115.4
2,Orthopaedics,ORT,17,10,9,1,1,11.8,4.0,5.07,0,112.5
2,Orthopaedics,ORT,18,13,12,1,1,11.8,4.0,5.07,0,138.9
2,Paediatrics,PED,8,17,16,1,1,10.4,7.0,5.78,0,150.0
2,Paediatrics,PED,9,12,11,1,1,10.4,9.0,5.78,0,113.8
2,Paediatrics,PED,10,12,11,1,1,10.4,3.0,5.78,0,117.5
2,Paediatrics,PED,11,18,17,1,1,10.4,8.0,5.78,1,150.0
2,Paediatrics,PED,12,15,14,1,1,10.4,3.0,5.78,0,141.7
2,Paediatrics,PED,13,11,10,1,1,10.4,3.0,5.78,0,100.6
2,Paediatrics,PED,14,20,19,1,1,10.4,6.0,5.78,0,150.0
2,Paediatrics,PED,15,21,20,1,1,10.4,5.0,5.78,0,150.0
2,Paediatrics,PED,16,12,11,1,1,10.4,6.0,5.78,0,113.2
2,Paediatrics,PED,17,8,7,1,1,10.4,5.0,5.78,0,75.2
2,Paediatrics,PED,18,15,14,1,1,10.4,4.0,5.78,0,142.0
2,Dermatology,DER,8,16,15,1,1,8.6,6.0,6.97,0,133.6
2,Dermatology,DER,9,13,12,1,1,8.6,2.0,6.97,0,101.7
2,Dermatology,DER,10,10,9,1,1,8.6,6.0,6.97,0,80.1
2,Dermatology,DER,11,10,9,1,1,8.6,6.0,6.97,0,81.2
2,Dermatology,DER,12,13,12,1,1,8.6,3.0,6.97,0,105.7
2,Dermatology,DER,13,16,15,1,1,8.6,2.0,6.97,0,128.7
2,Dermatology,DER,14,10,9,1,1,8.6,3.0,6.97,0,78.2
2,Dermatology,DER,15,16,15,1,1,8.6,4.0,6.97,0,127.4
2,Dermatology,DER,16,7,6,1,1,8.6,2.0,6.97,0,53.6
2,Dermatology,DER,17,6,5,1,1,8.6,2.0,6.97,0,40.7
2,Dermatology,DER,18,15,14,1,1,8.6,4.0,6.97,0,118.2
1,General Medicine,GEN,8,9,7,2,2,9.8,7.0,12.3,1,38.6
1,General Medicine,GEN,9,11,9,2,2,9.8,7.0,12.3,0,43.3
1,General Medicine,GEN,10,13,11,2,2,9.8,5.0,12.3,0,54.8
1,General Medicine,GEN,11,15,13,2,2,9.8,6.0,12.3,0,60.4
1,General Medicine,GEN,12,7,5,2,2,9.8,6.0,12.3,0,22.4
1,General Medicine,GEN,13,12,10,2,2,9.8,5.0,12.3,0,47.0
1,General Medicine,GEN,14,9,7,2,2,9.8,6.0,12.3,0,33.7
1,General Medicine,GEN,15,7,5,2,2,9.8,3.0,12.3,0,22.8
1,General Medicine,GEN,16,7,5,2,2,9.8,4.0,12.3,0,26.3
1,General Medicine,GEN,17,9,7,2,2,9.8,4.0,12.3,0,33.6
1,General Medicine,GEN,18,11,9,2,2,9.8,2.0,12.3,0,42.8
1,Cardiology,CAR,8,10,8,2,2,15.3,8.0,7.86,0,63.5
1,Cardiology,CAR,9,10,8,2,2,15.3,7.0,7.86,0,60.9
1,Cardiology,CAR,10,11,9,2,2,15.3,6.0,7.86,1,76.7
1,Cardiology,CAR,11,7,5,2,2,15.3,8.0,7.86,0,37.6
1,Cardiology,CAR,12,9,7,2,2,15.3,4.0,7.86,0,53.7
1,Cardiology,CAR,13,9,7,2,2,15.3,5.0,7.86,0,55.4
1,Cardiology,CAR,14,14,12,2,2,15.3,6.0,7.86,1,102.0
1,Cardiology,CAR,15,5,3,2,2,15.3,5.0,7.86,1,31.7
1,Cardiology,CAR,16,8,6,2,2,15.3,4.0,7.86,0,45.4
1,Cardiology,CAR,17,10,8,2,2,15.3,2.0,7.86,1,69.7
1,Cardiology,CAR,18,6,4,2,2,15.3,2.0,7.86,0,33.0
1,Orthopaedics,ORT,8,20,19,1,1,11.7,6.0,5.14,0,150.0
1,Orthopaedics,ORT,9,16,15,1,1,11.7,6.0,5.14,0,150.0
1,Orthopaedics,ORT,10,16,15,1,1,11.7,2.0,5.14,1,150.0
1,Orthopaedics,ORT,11,16,15,1,1,11.7,6.0,5.14,0,150.0
1,Orthopaedics,ORT,12,14,13,1,1,11.7,4.0,5.14,0,150.0
1,Orthopaedics,ORT,13,14,13,1,1,11.7,3.0,5.14,0,150.0
1,Orthopaedics,ORT,14,15,14,1,1,11.7,4.0,5.14,0,150.0
1,Orthopaedics,ORT,15,13,12,1,1,11.7,4.0,5.14,1,149.9
1,Orthopaedics,ORT,16,7,6,1,1,11.7,4.0,5.14,0,71.2
1,Orthopaedics,ORT,17,11,10,1,1,11.7,4.0,5.14,0,116.6
1,Orthopaedics,ORT,18,15,14,1,1,11.7,4.0,5.14,0,150.0
1,Paediatrics,PED,8,11,10,1,1,10.0,3.0,6.02,0,100.7
1,Paediatrics,PED,9,10,9,1,1,10.0,5.0,6.02,0,89.0
1,Paediatrics,PED,10,13,12,1,1,10.0,5.0,6.02,1,123.0
1,Paediatrics,PED,11,17,16,1,1,10.0,4.0,6.02,1,150.0
1,Paediatrics,PED,12,14,13,1,1,10.0,4.0,6.02,0,133.8
1,Paediatrics,PED,13,16,15,1,1,10.0,6.0,6.02,0,149.5
1,Paediatrics,PED,14,12,11,1,1,10.0,6.0,6.02,0,105.3
1,Paediatrics,PED,15,11,10,1,1,10.0,3.0,6.02,0,99.5
1,Paediatrics,PED,16,18,17,1,1,10.0,4.0,6.02,0,150.0
1,Paediatrics,PED,17,7,6,1,1,10.0,2.0,6.02,0,61.7
1,Paediatrics,PED,18,10,9,1,1,10.0,2.0,6.02,1,96.4
1,Dermatology,DER,8,8,7,1,1,7.5,4.0,8.03,0,52.9
1,Dermatology,DER,9,14,13,1,1,7.5,6.0,8.03,0,98.6
1,Dermatology,DER,10,19,18,1,1,7.5,4.0,8.03,0,135.9
1,Dermatology,DER,11,8,7,1,1,7.5,2.0,8.03,0,52.2
1,Dermatology,DER,12,14,13,1,1,7.5,4.0,8.03,0,94.1
1,Dermatology,DER,13,16,15,1,1,7.5,5.0,8.03,0,110.8
1,Dermatology,DER,14,15,14,1,1,7.5,5.0,8.03,0,103.9
1,Dermatology,DER,15,20,19,1,1,7.5,7.0,8.03,0,143.0
1,Dermatology,DER,16,18,17,1,1,7.5,3.0,8.03,0,126.0
1,Dermatology,DER,17,15,14,1,1,7.5,2.0,8.03,0,104.5
1,Dermatology,DER,18,16,15,1,1,7.5,4.0,8.03,1,115.8
2,General Medicine,GEN,8,7,5,2,2,10.4,4.0,11.49,0,31.2
2,General Medicine,GEN,9,11,9,2,2,10.4,3.0,11.49,0,46.4
2,General Medicine,GEN,10,8,6,2,2,10.4,6.0,11.49,0,30.9
2,General Medicine,GEN,11,12,10,2,2,10.4,7.0,11.49,0,54.1
2,General Medicine,GEN,12,8,6,2,2,10.4,3.0,11.49,0,28.8
2,General Medicine,GEN,13,19,17,2,2,10.4,4.0,11.49,0,89.6
2,General Medicine,GEN,14,13,11,2,2,10.4,6.0,11.49,0,58.4
2,General Medicine,GEN,15,6,4,2,2,10.4,7.0,11.49,0,18.8
2,General Medicine,GEN,16,5,3,2,2,10.4,8.0,11.49,1,21.6
2,General Medicine,GEN,17,15,13,2,2,10.4,6.0,11.49,0,63.8
2,General Medicine,GEN,18,6,4,2,2,10.4,5.0,11.49,0,20.8
2,Cardiology,CAR,8,13,11,2,2,14.7,5.0,8.19,0,82.9
2,Cardiology,CAR,9,6,4,2,2,14.7,4.0,8.19,0,28.7
2,Cardiology,CAR,10,12,10,2,2,14.7,5.0,8.19,0,69.8
2,Cardiology,CAR,11,9,7,2,2,14.7,6.0,8.19,1,61.3
2,Cardiology,CAR,12,8,6,2,2,14.7,6.0,8.19,0,43.5
2,Cardiology,CAR,13,9,7,2,2,14.7,4.0,8.19,1,66.4
2,Cardiology,CAR,14,6,4,2,2,14.7,2.0,8.19,2,43.3
2,Cardiology,CAR,15,8,6,2,2,14.7,4.0,8.19,0,42.7
2,Cardiology,CAR,16,18,16,2,2,14.7,6.0,8.19,1,126.0
2,Cardiology,CAR,17,4,2,2,2,14.7,4.0,8.19,1,26.3
2,Cardiology,CAR,18,13,11,2,2,14.7,5.0,8.19,0,81.4
2,Orthopaedics,ORT,8,12,11,1,1,12.7,4.0,4.74,1,149.6
2,Orthopaedics,ORT,9,9,8,1,1,12.7,4.0,4.74,0,100.7
2,Orthopaedics,ORT,10,18,17,1,1,12.7,7.0,4.74,1,150.0
2,Orthopaedics,ORT,11,15,14,1,1,12.7,3.0,4.74,0,150.0
2,Orthopaedics,ORT,12,15,14,1,1,12.7,6.0,4.74,0,150.0
2,Orthopaedics,ORT,13,22,21,1,1,12.7,2.0,4.74,0,150.0
2,Orthopaedics,ORT,14,11,10,1,1,12.7,4.0,4.74,0,124.7
2,Orthopaedics,ORT,15,9,8,1,1,12.7,6.0,4.74,0,103.2
2,Orthopaedics,ORT,16,15,14,1,1,12.7,3.0,4.74,0,150.0
2,Orthopaedics,ORT,17,10,9,1,1,12.7,4.0,4.74,0,116.6
2,Orthopaedics,ORT,18,11,10,1,1,12.7,5.0,4.74,0,122.9
2,Paediatrics,PED,8,14,13,1,1,10.2,4.0,5.89,1,135.6
2,Paediatrics,PED,9,18,17,1,1,10.2,8.0,5.89,0,150.0
2,Paediatrics,PED,10,13,12,1,1,10.2,9.0,5.89,0,121.7
2,Paediatrics,PED,11,15,14,1,1,10.2,9.0,5.89,0,145.6
2,Paediatrics,PED,12,14,13,1,1,10.2,2.0,5.89,0,132.2
2,Paediatrics,PED,13,10,9,1,1,10.2,0.0,5.89,0,91.9
2,Paediatrics,PED,14,16,15,1,1,10.2,2.0,5.89,0,150.0
2,Paediatrics,PED,15,18,17,1,1,10.2,7.0,5.89,1,150.0
2,Paediatrics,PED,16,9,8,1,1,10.2,5.0,5.89,0,81.4
2,Paediatrics,PED,17,13,12,1,1,10.2,6.0,5.89,0,122.7
2,Paediatrics,PED,18,18,17,1,1,10.2,4.0,5.89,1,150.0
2,Dermatology,DER,8,17,16,1,1,8.2,4.0,7.35,0,131.1
2,Dermatology,DER,9,17,16,1,1,8.2,1.0,7.35,0,129.1
2,Dermatology,DER,10,13,12,1,1,8.2,2.0,7.35,0,98.9
2,Dermatology,DER,11,9,8,1,1,8.2,5.0,7.35,0,67.0
2,Dermatology,DER,12,12,11,1,1,8.2,3.0,7.35,0,88.0
2,Dermatology,DER,13,12,11,1,1,8.2,1.0,7.35,0,89.4
2,Dermatology,DER,14,13,12,1,1,8.2,5.0,7.35,1,108.8
2,Dermatology,DER,15,8,7,1,1,8.2,5.0,7.35,0,63.2
2,Dermatology,DER,16,9,8,1,1,8.2,4.0,7.35,0,64.0
2,Dermatology,DER,17,10,9,1,1,8.2,3.0,7.35,1,78.9
2,Dermatology,DER,18,13,12,1,1,8.2,7.0,7.35,1,106.7
1,General Medicine,GEN,8,13,11,2,2,9.8,12.0,12.18,0,57.6
1,General Medicine,GEN,9,7,5,2,2,9.8,9.0,12.18,1,33.4
1,General Medicine,GEN,10,7,5,2,2,9.8,7.0,12.18,0,22.8
1,General Medicine,GEN,11,18,16,2,2,9.8,12.0,12.18,0,82.3
1,General Medicine,GEN,12,8,6,2,2,9.8,8.0,12.18,0,25.5
1,General Medicine,GEN,13,15,13,2,2,9.8,5.0,12.18,0,63.0
1,General Medicine,GEN,14,10,8,2,2,9.8,7.0,12.18,0,40.0
1,General Medicine,GEN,15,6,4,2,2,9.8,8.0,12.18,0,20.2
1,General Medicine,GEN,16,14,12,2,2,9.8,6.0,12.18,1,67.1
1,General Medicine,GEN,17,10,8,2,2,9.8,6.0,12.18,0,40.2
1,General Medicine,GEN,18,5,3,2,2,9.8,6.0,12.18,1,20.5
1,Cardiology,CAR,8,10,8,2,2,15.0,13.0,8.02,2,76.8
1,Cardiology,CAR,9,9,7,2,2,15.0,8.0,8.02,2,70.4
1,Cardiology,CAR,10,16,14,2,2,15.0,12.0,8.02,0,99.5
1,Cardiology,CAR,11,9,7,2,2,15.0,10.0,8.02,0,52.8
1,Cardiology,CAR,12,7,5,2,2,15.0,4.0,8.02,0,35.3
1,Cardiology,CAR,13,9,7,2,2,15.0,4.0,8.02,0,51.4
1,Cardiology,CAR,14,12,10,2,2,15.0,8.0,8.02,0,77.2
1,Cardiology,CAR,15,11,9,2,2,15.0,8.0,8.02,0,69.2
1,Cardiology,CAR,16,12,10,2,2,15.0,12.0,8.02,0,73.8
1,Cardiology,CAR,17,14,12,2,2,15.0,3.0,8.02,0,88.8
1,Cardiology,CAR,18,7,5,2,2,15.0,9.0,8.02,0,35.9
1,Orthopaedics,ORT,8,12,11,1,1,11.9,9.0,5.06,0,130.1
1,Orthopaedics,ORT,9,16,15,1,1,11.9,11.0,5.06,0,150.0
1,Orthopaedics,ORT,10,14,13,1,1,11.9,8.0,5.06,0,150.0
1,Orthopaedics,ORT,11,11,10,1,1,11.9,8.0,5.06,0,118.6
1,Orthopaedics,ORT,12,17,16,1,1,11.9,5.0,5.06,0,150.0
1,Orthopaedics,ORT,13,8,7,1,1,11.9,5.0,5.06,0,83.8
1,Orthopaedics,ORT,14,13,12,1,1,11.9,4.0,5.06,0,143.2
1,Orthopaedics,ORT,15,11,10,1,1,11.9,9.0,5.06,0,117.3
1,Orthopaedics,ORT,16,13,12,1,1,11.9,10.0,5.06,0,143.6
1,Orthopaedics,ORT,17,12,11,1,1,11.9,6.0,5.06,0,129.1
1,Orthopaedics,ORT,18,16,15,1,1,11.9,8.0,5.06,0,150.0
1,Paediatrics,PED,8,9,8,1,1,10.5,7.0,5.72,0,85.3
1,Paediatrics,PED,9,17,16,1,1,10.5,11.0,5.72,0,150.0
1,Paediatrics,PED,10,14,13,1,1,10.5,9.0,5.72,0,139.1
1,Paediatrics,PED,11,19,18,1,1,10.5,8.0,5.72,0,150.0
1,Paediatrics,PED,12,13,12,1,1,10.5,3.0,5.72,1,132.9
1,Paediatrics,PED,13,12,11,1,1,10.5,5.0,5.72,0,116.6
1,Paediatrics,PED,14,19,18,1,1,10.5,7.0,5.72,0,150.0
1,Paediatrics,PED,15,12,11,1,1,10.5,8.0,5.72,0,115.4
1,Paediatrics,PED,16,17,16,1,1,10.5,7.0,5.72,0,150.0
1,Paediatrics,PED,17,19,18,1,1,10.5,6.0,5.72,0,150.0
1,Paediatrics,PED,18,11,10,1,1,10.5,6.0,5.72,0,105.0
1,Dermatology,DER,8,14,13,1,1,7.5,5.0,8.03,1,104.8
1,Dermatology,DER,9,18,17,1,1,7.5,4.0,8.03,0,122.4
1,Dermatology,DER,10,15,14,1,1,7.5,5.0,8.03,0,104.6
1,Dermatology,DER,11,14,13,1,1,7.5,9.0,8.03,1,100.1
1,Dermatology,DER,12,15,14,1,1,7.5,5.0,8.03,0,99.1
1,Dermatology,DER,13,20,19,1,1,7.5,9.0,8.03,0,141.7
1,Dermatology,DER,14,10,9,1,1,7.5,5.0,8.03,0,66.1
1,Dermatology,DER,15,16,15,1,1,7.5,7.0,8.03,1,119.0
1,Dermatology,DER,16,10,9,1,1,7.5,5.0,8.03,0,67.0
1,Dermatology,DER,17,12,11,1,1,7.5,3.0,8.03,0,81.9
1,Dermatology,DER,18,18,17,1,1,7.5,6.0,8.03,0,127.2
2,General Medicine,GEN,8,8,6,2,2,9.4,10.0,12.73,0,25.9
2,General Medicine,GEN,9,11,9,2,2,9.4,7.0,12.73,0,38.0
2,General Medicine,GEN,10,13,11,2,2,9.4,9.0,12.73,0,52.1
2,General Medicine,GEN,11,15,13,2,2,9.4,9.0,12.73,0,63.8
2,General Medicine,GEN,12,12,10,2,2,9.4,7.0,12.73,0,52.1
2,General Medicine,GEN,13,12,10,2,2,9.4,5.0,12.73,0,45.3
2,General Medicine,GEN,14,10,8,2,2,9.4,10.0,12.73,0,37.9
2,General Medicine,GEN,15,10,8,2,2,9.4,7.0,12.73,0,36.2
2,General Medicine,GEN,16,8,6,2,2,9.4,7.0,12.73,0,33.2
2,General Medicine,GEN,17,6,4,2,2,9.4,5.0,12.73,0,17.4
2,General Medicine,GEN,18,6,4,2,2,9.4,4.0,12.73,0,21.3
2,Cardiology,CAR,8,10,8,2,2,14.3,9.0,8.4,2,69.2
2,Cardiology,CAR,9,11,9,2,2,14.3,11.0,8.4,0,66.7
2,Cardiology,CAR,10,18,16,2,2,14.3,13.0,8.4,0,114.3
2,Cardiology,CAR,11,6,4,2,2,14.3,8.0,8.4,0,35.8
2,Cardiology,CAR,12,14,12,2,2,14.3,6.0,8.4,0,85.6
2,Cardiology,CAR,13,18,16,2,2,14.3,5.0,8.4,0,113.0
2,Cardiology,CAR,14,12,10,2,2,14.3,9.0,8.4,0,73.9
2,Cardiology,CAR,15,10,8,2,2,14.3,8.0,8.4,1,65.1
2,Cardiology,CAR,16,12,10,2,2,14.3,9.0,8.4,0,71.6
2,Cardiology,CAR,17,7,5,2,2,14.3,6.0,8.4,0,36.4
2,Cardiology,CAR,18,10,8,2,2,14.3,9.0,8.4,1,64.9
2,Orthopaedics,ORT,8,19,18,1,1,12.5,8.0,4.78,0,150.0
2,Orthopaedics,ORT,9,18,17,1,1,12.5,8.0,4.78,0,150.0
2,Orthopaedics,ORT,10,14,13,1,1,12.5,8.0,4.78,0,150.0
2,Orthopaedics,ORT,11,17,16,1,1,12.5,7.0,4.78,0,150.0
2,Orthopaedics,ORT,12,12,11,1,1,12.5,8.0,4.78,1,144.0
2,Orthopaedics,ORT,13,12,11,1,1,12.5,4.0,4.78,0,133.4
2,Orthopaedics,ORT,14,14,13,1,1,12.5,10.0,4.78,0,150.0
2,Orthopaedics,ORT,15,11,10,1,1,12.5,6.0,4.78,0,125.6
2,Orthopaedics,ORT,16,8,7,1,1,12.5,8.0,4.78,0,90.4
2,Orthopaedics,ORT,17,12,11,1,1,12.5,5.0,4.78,0,138.9
2,Orthopaedics,ORT,18,8,7,1,1,12.5,3.0,4.78,0,81.9
2,Paediatrics,PED,8,19,18,1,1,9.7,8.0,6.2,0,150.0
2,Paediatrics,PED,9,20,19,1,1,9.7,14.0,6.2,2,150.0
2,Paediatrics,PED,10,11,10,1,1,9.7,8.0,6.2,0,98.2
2,Paediatrics,PED,11,13,12,1,1,9.7,9.0,6.2,0,116.9
2,Paediatrics,PED,12,16,15,1,1,9.7,7.0,6.2,0,144.7
2,Paediatrics,PED,13,18,17,1,1,9.7,5.0,6.2,0,150.0
2,Paediatrics,PED,14,16,15,1,1,9.7,9.0,6.2,0,143.2
2,Paediatrics,PED,15,13,12,1,1,9.7,8.0,6.2,1,121.5
2,Paediatrics,PED,16,14,13,1,1,9.7,11.0,6.2,0,123.1
2,Paediatrics,PED,17,19,18,1,1,9.7,2.0,6.2,0,150.0
2,Paediatrics,PED,18,13,12,1,1,9.7,5.0,6.2,0,114.8
2,Dermatology,DER,8,14,13,1,1,8.7,5.0,6.9,1,121.0
2,Dermatology,DER,9,15,14,1,1,8.7,3.0,6.9,0,118.1
2,Dermatology,DER,10,12,11,1,1,8.7,6.0,6.9,0,95.8
2,Dermatology,DER,11,16,15,1,1,8.7,7.0,6.9,0,135.5
2,Dermatology,DER,12,18,17,1,1,8.7,6.0,6.9,0,149.3
2,Dermatology,DER,13,23,22,1,1,8.7,5.0,6.9,0,150.0
2,Dermatology,DER,14,17,16,1,1,8.7,6.0,6.9,0,142.9
2,Dermatology,DER,15,16,15,1,1,8.7,7.0,6.9,0,126.3
2,Dermatology,DER,16,12,11,1,1,8.7,5.0,6.9,0,98.0
2,Dermatology,DER,17,12,11,1,1,8.7,4.0,6.9,0,95.4
2,Dermatology,DER,18,13,12,1,1,8.7,6.0,6.9,1,113.9
1,General Medicine,GEN,8,6,4,2,2,9.6,9.0,12.45,0,13.6
1,General Medicine,GEN,9,17,15,2,2,9.6,11.0,12.45,1,77.2
1,General Medicine,GEN,10,7,5,2,2,9.6,8.0,12.45,0,22.8
1,General Medicine,GEN,11,7,5,2,2,9.6,7.0,12.45,1,25.7
1,General Medicine,GEN,12,13,11,2,2,9.6,4.0,12.45,0,55.2
1,General Medicine,GEN,13,3,1,2,2,9.6,2.0,12.45,1,7.8
1,General Medicine,GEN,14,11,9,2,2,9.6,6.0,12.45,0,41.3
1,General Medicine,GEN,15,12,10,2,2,9.6,11.0,12.45,0,51.4
1,General Medicine,GEN,16,14,12,2,2,9.6,7.0,12.45,0,59.1
1,General Medicine,GEN,17,7,5,2,2,9.6,5.0,12.45,0,24.4
1,General Medicine,GEN,18,11,9,2,2,9.6,4.0,12.45,0,44.4
1,Cardiology,CAR,8,9,7,2,2,13.6,9.0,8.85,0,52.2
1,Cardiology,CAR,9,20,18,2,2,13.6,13.0,8.85,1,134.5
1,Cardiology,CAR,10,16,14,2,2,13.6,10.0,8.85,1,101.6
